ID,site,site_abb,occupation,country,region,period,mis,dating_method,calibrated_date,age_estimation,error,max_date,min_date,median_date_cal_bp,two_sigma_range_calbp,lab_no_date,depth_below_surface_cm,beads_finished,beads_preforms,mean_diameter_mm,oes_fragments,oes_fragments_weight_g,comments,references,notes,lat,long,two_sigma_range_cal_bp
1,Sehonghong,SHH,RF,south africa,,Robberg,2,radiocarbon,,12420,50,,,14476,14853 to 14177,OxA-32924,,5,0,,0,,,pargeterNewAgesSehonghong2017; mitchellPrehistoricExchangeInteraction1996a,,-29.729577,28.78863,14853 to 14177
2,Sehonghong,SHH,RBL/CLBRF,south africa,,Robberg,2,radiocarbon,,12870,55,,,15329,15553 to 15144,OxA-32924,,2,0,,0,,,pargeterNewAgesSehonghong2017; mitchellPrehistoricExchangeInteraction1996a,,-29.729577,28.78863,15553 to 15144
3,Sehonghong,SHH,BAS,south africa,,Early Robberg,2,radiocarbon,,20600,100,,,24773,25076 to 24357,OxA-32921,,2,0,,0,,,pargeterNewAgesSehonghong2017; mitchellPrehistoricExchangeInteraction1996a,,-29.729577,28.78863,25076 to 24357
4,Ha Makotoko,HM,Trench 52,lesotho,,LSA - Robberg,2,radiocarbon,no,12580,35,,,14904,15103 to 14535,UGAMS-11594,,11,0,3.2,0,,,mitchellHaMakotokoLater2014; mitchellArchaeologicalInvestigationsTwo1993,,-29.327284,27.803784,15103 to 14802
5,Ha Makotoko,HM,Trench 61,lesotho,,MSA/LSA transition,2,radiocarbon,no,25470,70,,,29800,29994 to 29320,UGAMS-11595,,1,0,3,0,,,mitchellHaMakotokoLater2014; mitchellArchaeologicalInvestigationsTwo1993,,-29.327284,27.803784,29994 to 29473
6,Melkhoutboom Shelter,MHB,B,south africa,,,2,radiocarbon,no,15400,120,,,18667,18874 to 18287,UW-233,,5,6,,393,,2 decorated frags,deacon1976hunters,Dates are on pages 25 and 187 of Deacon 1976,-33.263349,25.27073,18874 to 18572
7,Apollo 11,APL,L ,namibia,,LSA - Early LSA I,2,radiocarbon,yes,,,14500,13000,,,,,0,0,,0,,oes data not reported?,vogelsang2010new,can calculate weighted mean from Table 3 Vogelsang et al. 2010,-27.750116,17.094916,
8,Apollo 11,APL,Upper M,namibia,,LSA - Early LSA II,2,radiocarbon,yes,22300,400,,,26576,27278 to 25862,,,0,0,,4481,,OES fragments total weight = 3375g. OES beads only present in younger layers (from 6ka). Date is weighted mean,vogelsang2010new,weighted mean,-27.750116,17.094916,27278 to 25862
9,Nelson Bay Cave,NBC,BSBJ,south africa,Western Cape,LSA - Oakhurst,2,AMS radiocarbon,no,10155,45,,,11730,11921 to 11458,OxA-32454,,6,0,,35,,,deacon1982later; loftusNewRadiocarbonDates2016,,-34.101034,23.375392,11921 to 11909
10,Nelson Bay Cave,NBC,CS,south africa,Western Cape,LSA - Oakhurst,2,AMS radiocarbon,no,10340,50,,,12071,12459 ro 11877,OxA-32455,,72,53,,448,,,"deacon1982later, deacon1984later",,-34.101034,23.375392,12459 to 12351
11,Nelson Bay Cave,NBC,GSL,south africa,Western Cape,LSA - Oakhurst,2,AMS radiocarbon,no,12425,55,,,14490,14873 to 14173,OxA-32456,,2,0,,3,,,"deacon1982later, deacon1984later",,-34.101034,23.375392,14873 to 14173
12,Bushman's Rock Shelter,BRS,Layers 6-14 ,south africa,Limpopo,LSA,2,OSL quartz,n/a,,80;120,,,,,GRN-4813;PTA-1175,,75,95,5.3,419,,,plugBoneToolsShell1982,dates Plug 1981a. Beads from the child burial are not inclded in reports (but they date to younger than MIS2),-24.35,30.38,
13,Bushman's Rock Shelter,BRS,Layers 15-18,south africa,Limpopo,LSA,2,OSL quartz,n/a,,95;140,,,,,GRN-4815; PTA-1178,,8,6,5.3,32,,,plugBoneToolsShell1982,dates Plug 1981a. Beads from the child burial are not inclded in reports (but they date to younger than MIS2). The mean diameter was calculated for all beads (not separated by layers),-24.35,30.38,
14,Umhlatuzana,UMH,Layer 5,south africa,KwaZulu-Natal,LSA - Robberg,2,radiocarbon,no,13400,120,,,16080,16431 to 15715,PTA-4226,,2,0,,0,,,kaplanUmhlatuzanaRockShelter1990; lombardStillBaySerrated2010,,-29.807778,30.756111,16431 to 15715
15,Umhlatuzana,UMH,Layer 6,south africa,KwaZulu-Natal,LSA - Robberg,2,radiocarbon,no,,,,,,,,,2,0,,0,,Hasn't been directly dated - likely a similar age to layer 5,kaplanUmhlatuzanaRockShelter1990; lombardStillBaySerrated2010,,-29.807778,30.756111,
